borrower_id,credit_score,annual_income,employment_length,dti,loan_amount,term,interest_rate,loan_purpose,home_ownership,default_status
1101,751,42440,5,12.4%,39469,60m,15.91%,home_improvement,own,0
1102,739,55205,0,16.1%,25119,36m,10.62%,small_business,mortgage,0
1103,777,141156,3,13.4%,48117,36m,14.26%,credit_card,rent,0
1104,563,100811,10,24.5%,35781,60m,23.94%,credit_card,mortgage,1
1105,644,143768,25,8.8%,18279,60m,19.54%,medical,own,1
1106,597,75103,36,37.7%,5299,60m,5.24%,car,mortgage,1
1107,564,90812,22,16.7%,36274,36m,7.33%,debt_consolidation,own,1
1108,749,61627,28,12.7%,6803,36m,23.48%,wedding,mortgage,0
1109,755,126122,20,22.4%,19361,60m,21.97%,small_business,rent,0
1110,764,123032,26,14.7%,20201,36m,14.72%,credit_card,mortgage,1
1111,798,39008,38,23.7%,30634,60m,17.34%,car,mortgage,0
1112,739,91274,39,17.2%,16760,60m,10.79%,car,own,0
1113,589,52402,12,9.6%,12826,60m,20.86%,debt_consolidation,own,1
1114,762,73384,22,14.3%,23285,60m,17.07%,small_business,own,0
1115,757,148922,15,20.3%,48589,36m,18.9%,car,own,0
1116,786,25793,29,6.1%,47775,60m,12.5%,credit_card,rent,0
1117,631,122827,3,32.0%,11140,36m,13.61%,home_improvement,own,1
1118,660,25571,39,26.8%,8798,36m,9.15%,credit_card,rent,1
1119,602,116867,15,26.0%,2567,36m,23.96%,small_business,rent,1
1120,573,36209,30,24.1%,13624,36m,23.93%,home_improvement,mortgage,1
1121,703,133550,24,25.7%,14215,60m,21.36%,wedding,mortgage,0
1122,766,110930,11,37.7%,9966,60m,23.71%,wedding,own,1
1123,737,63148,25,5.3%,42888,36m,18.31%,car,mortgage,0
1124,673,111218,36,6.7%,31753,36m,9.69%,credit_card,own,0
1125,786,22224,32,11.7%,46104,60m,20.2%,debt_consolidation,rent,0
1126,590,126693,27,10.9%,39078,60m,11.51%,small_business,own,1
1127,706,145551,8,11.3%,47955,60m,13.81%,car,mortgage,0
1128,564,68695,11,28.5%,48857,60m,10.49%,debt_consolidation,mortgage,1
1129,594,140779,4,21.1%,3982,60m,13.47%,home_improvement,rent,1
1130,614,149714,27,39.7%,35864,36m,18.59%,wedding,mortgage,1
1131,638,129988,34,12.9%,15582,60m,7.21%,medical,mortgage,1
1132,620,128944,4,15.9%,21954,60m,7.1%,medical,mortgage,1
1133,558,52441,33,39.4%,41265,60m,18.68%,home_improvement,mortgage,1
1134,637,126966,33,34.1%,48313,36m,20.59%,medical,rent,1
1135,678,59129,12,21.4%,46350,60m,16.03%,small_business,rent,1
1136,785,120252,38,24.4%,17378,36m,8.63%,car,rent,0
1137,685,82368,13,34.5%,45632,36m,13.62%,car,own,1
1138,765,130395,10,21.8%,6279,60m,20.16%,small_business,mortgage,1
1139,612,112122,37,12.2%,29924,36m,18.71%,credit_card,own,1
1140,688,64760,3,34.0%,19057,36m,7.2%,car,mortgage,0
1141,792,149655,32,23.8%,9312,60m,24.38%,wedding,own,0
1142,630,43478,6,10.4%,32353,60m,9.47%,medical,rent,1
1143,685,147881,7,22.7%,37137,60m,9.41%,wedding,rent,1
1144,712,91854,36,19.5%,22914,36m,14.2%,small_business,mortgage,1
1145,712,114230,9,35.7%,18192,60m,11.54%,debt_consolidation,mortgage,0
1146,582,105716,14,9.4%,19450,36m,24.68%,credit_card,mortgage,1
1147,672,32180,37,35.6%,7432,60m,6.53%,debt_consolidation,rent,1
1148,554,118538,14,22.9%,33012,36m,11.13%,wedding,rent,1
1149,783,35372,4,19.2%,35455,60m,12.65%,medical,mortgage,1
1150,780,49796,28,10.7%,15175,36m,14.87%,wedding,mortgage,0
1151,799,78272,18,29.5%,2068,60m,5.33%,debt_consolidation,mortgage,0
1152,590,138295,9,37.4%,12295,36m,6.65%,medical,mortgage,1
1153,577,109963,11,18.1%,8774,60m,10.16%,car,mortgage,1
1154,684,118826,3,13.5%,14190,36m,16.08%,credit_card,rent,0
1155,750,140592,30,24.4%,33286,60m,20.36%,home_improvement,mortgage,1
1156,621,113635,17,32.9%,12789,36m,18.73%,medical,mortgage,1
1157,561,131022,15,5.1%,30914,36m,16.34%,small_business,rent,1
1158,711,74040,39,27.1%,33944,60m,12.94%,small_business,rent,0
1159,582,95357,35,25.9%,8891,60m,22.41%,car,rent,1
1160,597,91368,24,16.1%,23977,36m,14.2%,small_business,own,1
1161,796,98356,22,20.8%,32351,36m,10.99%,debt_consolidation,mortgage,0
1162,700,36211,11,13.6%,12316,60m,17.59%,car,mortgage,0
1163,611,125426,33,32.6%,35207,60m,18.84%,small_business,mortgage,1
1164,765,25842,35,27.2%,27654,36m,12.97%,debt_consolidation,own,0
1165,586,83115,36,23.6%,9466,60m,5.56%,debt_consolidation,mortgage,1
1166,648,86852,2,18.7%,19637,60m,6.88%,debt_consolidation,rent,1
1167,721,145737,8,15.2%,5209,36m,21.91%,small_business,mortgage,0
1168,653,65968,17,33.8%,38317,36m,6.13%,debt_consolidation,mortgage,1
1169,763,37508,34,20.8%,5078,60m,16.84%,wedding,mortgage,1
1170,768,42005,33,22.6%,29299,60m,8.67%,credit_card,rent,0
1171,584,74575,13,23.2%,38258,60m,9.58%,small_business,own,1
1172,742,100742,3,20.7%,5543,36m,10.47%,debt_consolidation,own,0
1173,776,38971,28,14.0%,31091,36m,5.77%,credit_card,own,0
1174,650,45599,14,9.2%,30947,36m,8.54%,wedding,rent,1
1175,724,107592,27,8.4%,24064,60m,18.01%,home_improvement,rent,0
1176,755,86914,15,31.5%,8751,36m,14.97%,credit_card,mortgage,0
1177,680,138062,11,12.8%,16906,36m,20.95%,small_business,own,0
1178,550,87055,4,6.9%,20096,36m,6.22%,small_business,mortgage,1
1179,554,107697,33,32.9%,16425,36m,22.78%,debt_consolidation,own,1
1180,767,126239,0,10.4%,13811,36m,24.93%,wedding,own,0
1181,796,124397,38,26.9%,19578,36m,5.31%,wedding,mortgage,1
1182,691,143106,31,16.9%,8781,60m,24.35%,wedding,rent,0
1183,652,25355,25,9.4%,23290,36m,9.72%,small_business,rent,1
1184,576,74120,16,19.5%,17563,36m,18.85%,home_improvement,rent,1
1185,686,94619,26,5.5%,27888,36m,10.85%,wedding,rent,0
1186,756,58342,23,34.4%,29491,36m,15.44%,car,rent,1
1187,564,105992,34,23.0%,49565,36m,15.21%,credit_card,mortgage,1
1188,639,98860,38,9.9%,34352,36m,12.22%,car,rent,1
1189,591,22257,25,13.3%,23676,36m,19.35%,home_improvement,mortgage,1
1190,673,47364,37,20.7%,2300,60m,16.99%,credit_card,own,1
1191,754,44972,22,11.6%,39463,36m,15.17%,debt_consolidation,rent,0
1192,728,131715,21,14.4%,46942,36m,24.66%,credit_card,rent,0
1193,612,46654,3,23.7%,23008,60m,23.8%,debt_consolidation,rent,1
1194,645,100769,8,34.1%,22221,36m,24.11%,medical,rent,1
1195,780,101423,3,19.1%,31334,60m,22.63%,credit_card,mortgage,0
1196,790,49320,6,30.1%,45518,36m,10.1%,credit_card,mortgage,0
1197,601,40808,22,35.7%,22301,36m,12.0%,car,mortgage,1
1198,645,72389,1,12.6%,9307,36m,9.62%,car,rent,1
1199,681,115690,23,33.3%,31251,60m,24.72%,home_improvement,mortgage,1
1200,771,138581,39,31.5%,48586,36m,8.05%,debt_consolidation,mortgage,0
1201,778,147927,30,17.5%,36157,36m,12.33%,small_business,rent,0
1202,700,54773,30,39.6%,10882,36m,8.98%,car,rent,1
1203,780,71168,39,14.2%,12040,36m,9.47%,wedding,own,0
1204,786,47747,33,13.9%,8141,60m,9.94%,home_improvement,rent,0
1205,692,96396,23,32.0%,47878,36m,17.79%,debt_consolidation,own,1
1206,720,128374,25,20.2%,7969,60m,6.52%,debt_consolidation,rent,0
1207,578,127692,15,16.6%,15162,36m,16.45%,debt_consolidation,rent,1
1208,585,103692,12,11.3%,11131,60m,21.39%,medical,mortgage,1
1209,562,77505,14,31.8%,7037,36m,20.33%,debt_consolidation,own,1
1210,709,105896,26,32.5%,24378,60m,8.02%,home_improvement,own,1
1211,620,38135,3,24.8%,16693,36m,23.29%,debt_consolidation,rent,1
1212,736,110887,15,38.5%,28626,60m,20.4%,small_business,own,0
1213,792,142118,29,16.1%,4451,60m,5.11%,small_business,mortgage,0
1214,635,116035,29,12.7%,2024,36m,19.75%,debt_consolidation,rent,1
1215,577,67377,35,28.7%,7962,60m,19.75%,home_improvement,rent,1
1216,615,43554,2,31.5%,37324,60m,14.94%,credit_card,mortgage,1
1217,719,82491,21,12.9%,33415,60m,5.92%,debt_consolidation,mortgage,1
1218,594,75621,21,7.7%,26016,36m,16.6%,home_improvement,rent,1
1219,611,134667,11,33.4%,18444,36m,20.31%,car,own,1
1220,734,78283,20,39.2%,42443,60m,10.42%,home_improvement,mortgage,1
1221,794,105140,3,27.6%,18506,36m,18.34%,medical,own,1
1222,683,36923,30,14.7%,40384,36m,12.08%,car,mortgage,0
1223,577,67591,30,39.9%,45062,60m,16.48%,small_business,mortgage,1
1224,577,82261,22,36.3%,33693,36m,12.69%,small_business,rent,1
1225,657,136149,19,23.0%,48778,36m,11.08%,credit_card,mortgage,1
1226,593,74336,14,33.9%,26248,36m,22.12%,credit_card,own,1
1227,633,94083,22,33.6%,48162,60m,20.08%,home_improvement,mortgage,1
1228,579,80948,27,37.7%,44690,60m,11.91%,home_improvement,rent,1
1229,739,129819,15,34.4%,6089,60m,13.69%,debt_consolidation,rent,1
1230,624,53002,36,27.5%,49216,60m,18.83%,wedding,own,1
1231,677,100098,20,26.3%,4472,36m,21.22%,wedding,rent,1
1232,799,136236,14,21.4%,45237,36m,18.69%,debt_consolidation,own,0
1233,796,93016,16,26.9%,42218,36m,15.82%,small_business,mortgage,0
1234,641,46672,36,32.8%,37732,36m,24.09%,medical,mortgage,1
1235,766,24213,12,38.9%,10104,36m,20.48%,wedding,mortgage,1
1236,780,30293,18,21.4%,19694,60m,7.31%,debt_consolidation,rent,0
1237,739,119977,29,25.1%,26730,60m,16.16%,small_business,mortgage,0
1238,774,75860,17,20.6%,36980,36m,13.19%,home_improvement,rent,0
1239,678,82507,13,28.4%,11454,60m,20.9%,wedding,mortgage,1
1240,670,77134,35,27.0%,41560,60m,5.89%,home_improvement,rent,1
1241,576,22100,35,5.6%,11554,60m,13.21%,debt_consolidation,rent,1
1242,739,130153,19,23.9%,27513,36m,11.37%,wedding,own,1
1243,670,81997,18,8.1%,43471,36m,7.82%,medical,mortgage,1
1244,665,48172,6,5.9%,47987,36m,12.58%,small_business,rent,1
1245,754,40132,3,32.7%,32985,36m,18.46%,home_improvement,mortgage,0
1246,782,137861,33,14.1%,26762,36m,12.23%,small_business,mortgage,0
1247,552,38199,1,16.9%,42428,60m,16.6%,medical,mortgage,1
1248,652,56609,4,7.2%,3702,36m,16.86%,home_improvement,own,1
1249,747,62965,9,11.3%,19038,36m,16.74%,small_business,mortgage,1
1250,749,28016,31,31.8%,24219,36m,15.59%,medical,rent,1
1251,704,59779,12,22.3%,6271,60m,7.34%,medical,mortgage,0
1252,686,122797,38,35.8%,29397,36m,9.37%,medical,rent,1
1253,611,51881,4,18.9%,10955,36m,21.0%,debt_consolidation,rent,1
1254,714,102594,9,14.4%,31602,60m,15.05%,credit_card,own,0
1255,774,44472,9,17.2%,46227,36m,19.12%,small_business,mortgage,0
1256,600,126882,37,29.9%,33545,60m,16.4%,medical,own,1
1257,783,120462,26,24.4%,25116,36m,5.77%,small_business,rent,1
1258,721,71813,20,36.6%,8674,36m,20.92%,medical,rent,0
1259,701,120368,7,26.1%,19469,36m,6.29%,small_business,rent,0
1260,756,146731,0,22.3%,7446,60m,23.86%,home_improvement,rent,0
1261,608,56021,27,32.5%,22760,60m,9.31%,small_business,mortgage,1
1262,667,74131,38,38.2%,3963,36m,15.25%,wedding,mortgage,1
1263,709,44087,13,17.5%,44745,36m,6.27%,credit_card,mortgage,1
1264,645,32828,20,13.7%,12466,36m,22.9%,home_improvement,mortgage,1
1265,765,81610,29,26.6%,29262,60m,24.6%,home_improvement,mortgage,0
1266,782,116664,20,22.5%,7177,36m,7.93%,medical,own,0
1267,729,143619,8,39.6%,13160,36m,10.92%,car,mortgage,0
1268,662,21401,16,21.2%,39340,36m,5.32%,wedding,own,1
1269,611,105179,4,7.6%,9543,36m,20.74%,credit_card,mortgage,1
1270,790,35193,30,39.2%,43675,60m,11.23%,home_improvement,mortgage,1
1271,735,112389,39,34.5%,18626,60m,16.78%,car,own,0
1272,601,64864,37,11.2%,41278,36m,5.78%,car,rent,1
1273,561,40307,18,36.7%,31607,36m,19.31%,home_improvement,mortgage,1
1274,588,122518,35,16.9%,22299,36m,15.59%,medical,own,1
1275,679,39611,32,18.2%,19221,36m,19.5%,debt_consolidation,mortgage,1
1276,680,63791,12,36.7%,5323,60m,20.79%,home_improvement,own,1
1277,662,31950,13,23.6%,44305,36m,6.78%,medical,rent,1
1278,650,96240,32,9.8%,12615,36m,16.56%,credit_card,mortgage,1
1279,662,128647,28,17.9%,3432,36m,18.0%,medical,own,0
1280,733,97403,35,30.3%,25238,60m,15.33%,car,mortgage,0
1281,630,22745,9,11.1%,42423,36m,8.65%,wedding,mortgage,1
1282,736,75243,30,25.7%,10431,60m,20.91%,wedding,rent,1
1283,662,23866,5,29.3%,10330,60m,24.95%,credit_card,rent,1
1284,551,52245,0,17.0%,46153,60m,24.39%,wedding,mortgage,1
1285,679,64724,6,29.3%,10611,60m,20.55%,credit_card,own,1
1286,769,148681,26,35.9%,15872,36m,13.36%,debt_consolidation,own,0
1287,603,91354,20,21.5%,36930,36m,11.75%,debt_consolidation,mortgage,1
1288,636,71374,27,18.4%,8486,60m,6.37%,home_improvement,own,1
1289,778,134397,15,13.8%,38870,60m,13.33%,wedding,mortgage,0
1290,773,137480,22,26.1%,25258,60m,8.12%,medical,mortgage,0
1291,774,144577,19,35.8%,45186,60m,10.09%,home_improvement,mortgage,0
1292,678,50116,37,16.4%,3168,36m,22.84%,debt_consolidation,mortgage,1
1293,696,101029,24,18.9%,2415,36m,24.37%,car,mortgage,0
1294,675,113574,27,19.2%,12905,60m,23.97%,debt_consolidation,rent,1
1295,679,40447,4,24.6%,48200,60m,8.87%,medical,own,1
1296,602,50431,20,13.0%,7243,36m,23.02%,car,rent,1
1297,721,37908,17,33.8%,18533,36m,7.83%,wedding,rent,0
1298,767,49336,5,15.3%,29020,36m,15.15%,home_improvement,mortgage,0
1299,709,60992,28,29.7%,24908,36m,17.87%,home_improvement,own,0
1300,747,75350,18,23.0%,7899,36m,14.25%,debt_consolidation,mortgage,0
1301,709,89561,32,25.5%,35606,60m,24.04%,debt_consolidation,rent,0
1302,796,137254,0,11.3%,40912,36m,11.66%,wedding,mortgage,0
1303,617,71955,2,30.7%,11888,60m,15.55%,small_business,own,1
1304,732,81240,20,11.6%,47299,60m,6.51%,home_improvement,mortgage,0
1305,752,40093,34,9.0%,17935,60m,22.04%,wedding,mortgage,1
1306,733,26155,39,24.1%,9466,60m,13.27%,home_improvement,mortgage,1
1307,672,66607,2,29.8%,17095,36m,19.01%,credit_card,rent,1
1308,694,53487,24,6.8%,13193,60m,18.64%,medical,own,0
1309,587,133194,37,7.4%,3320,36m,18.53%,credit_card,mortgage,1
1310,573,75668,19,33.1%,48032,60m,15.14%,credit_card,mortgage,1
1311,618,40963,33,33.3%,14227,36m,10.55%,home_improvement,mortgage,1
1312,665,70124,20,13.6%,19907,60m,17.5%,small_business,own,0
1313,647,72870,22,26.5%,40002,36m,24.24%,wedding,rent,1
1314,747,76547,5,20.5%,46838,36m,21.68%,wedding,rent,0
1315,763,84110,12,27.1%,40912,36m,7.18%,medical,rent,1
1316,688,73554,22,35.2%,2552,60m,5.46%,home_improvement,mortgage,1
1317,789,40936,8,7.8%,22140,36m,14.98%,credit_card,mortgage,1
1318,693,136895,16,32.2%,22055,36m,20.52%,credit_card,mortgage,1
1319,646,24426,1,22.3%,35367,60m,11.28%,wedding,mortgage,1
1320,750,108839,18,24.7%,17098,36m,19.02%,wedding,rent,1
1321,673,130816,18,27.9%,26061,36m,23.64%,home_improvement,rent,1
1322,736,47606,6,37.3%,33054,36m,14.18%,debt_consolidation,rent,0
1323,619,67832,19,7.0%,16800,36m,9.88%,debt_consolidation,mortgage,1
1324,757,48151,8,6.0%,44124,60m,23.36%,home_improvement,own,0
1325,642,99303,16,11.2%,47638,36m,14.45%,car,mortgage,1
1326,552,31308,26,39.5%,47192,60m,13.16%,car,rent,1
1327,697,129781,1,30.0%,27579,36m,12.07%,debt_consolidation,rent,1
1328,736,82522,35,26.5%,3982,60m,13.46%,medical,own,0
1329,713,143523,18,6.6%,42598,60m,18.47%,small_business,rent,0
1330,696,65671,16,35.8%,37765,60m,13.67%,credit_card,rent,1
1331,639,110306,4,33.4%,19070,36m,11.48%,wedding,rent,1
1332,744,114108,38,28.3%,32886,36m,19.87%,medical,mortgage,0
1333,696,126984,17,16.9%,46374,36m,9.06%,wedding,rent,0
1334,697,22204,6,7.5%,36527,60m,9.04%,debt_consolidation,rent,0
1335,645,112769,16,25.3%,41791,36m,18.93%,home_improvement,mortgage,1
1336,748,107265,38,30.2%,31513,60m,22.33%,car,rent,0
1337,601,51131,35,8.3%,24592,36m,9.82%,debt_consolidation,rent,1
1338,782,72428,39,27.2%,48660,36m,8.82%,medical,mortgage,1
1339,710,53870,3,15.0%,25618,36m,18.41%,medical,own,0
1340,717,123547,37,31.7%,17409,36m,17.42%,small_business,rent,1
1341,677,124918,24,23.9%,11529,60m,13.95%,wedding,rent,1
1342,588,69067,4,9.5%,26154,36m,6.92%,debt_consolidation,rent,1
1343,631,78585,29,23.4%,34882,36m,6.84%,credit_card,mortgage,1
1344,653,127011,11,18.9%,46917,36m,20.55%,medical,own,1
1345,678,132217,3,11.3%,18952,60m,14.04%,credit_card,rent,0
1346,560,41607,23,34.5%,17701,36m,22.16%,credit_card,mortgage,1
1347,769,44968,28,5.4%,11745,36m,16.49%,wedding,rent,0
1348,734,118934,8,15.9%,26335,60m,17.37%,home_improvement,mortgage,0
1349,766,31908,3,5.4%,4689,36m,23.68%,debt_consolidation,rent,0
1350,727,46423,23,8.4%,4988,36m,8.29%,debt_consolidation,own,0
1351,700,129151,13,15.4%,37919,36m,15.86%,credit_card,mortgage,0
1352,708,94707,4,6.9%,46487,60m,6.16%,home_improvement,rent,0
1353,771,98257,17,25.9%,11013,60m,12.18%,medical,own,1
1354,591,146282,18,8.0%,41113,60m,7.96%,medical,rent,1
1355,648,81215,11,29.6%,5574,60m,8.76%,debt_consolidation,rent,1
1356,556,75835,17,6.8%,34480,60m,23.7%,wedding,own,1
1357,693,69429,16,7.1%,9838,36m,17.21%,wedding,rent,1
1358,639,102152,29,15.7%,30363,36m,22.84%,credit_card,own,1
1359,661,128048,23,36.4%,33368,36m,13.87%,home_improvement,mortgage,1
1360,798,58458,10,27.4%,34228,36m,16.95%,home_improvement,own,0
1361,793,66169,34,32.0%,48097,60m,5.64%,medical,mortgage,0
1362,609,27659,22,10.0%,30639,60m,14.39%,medical,rent,1
1363,662,80614,16,34.2%,16823,36m,16.28%,wedding,own,1
1364,551,128905,0,5.3%,25510,36m,5.34%,car,rent,1
1365,678,97240,14,12.5%,40333,60m,20.79%,car,mortgage,1
1366,597,52793,31,26.6%,6435,36m,10.91%,credit_card,mortgage,1
1367,689,133688,8,18.1%,40418,36m,14.05%,car,mortgage,1
1368,746,66473,14,39.4%,22553,60m,15.71%,home_improvement,mortgage,0
1369,586,116762,27,6.1%,9436,36m,24.84%,car,own,1
1370,709,109388,23,40.0%,38476,60m,6.98%,debt_consolidation,own,0
1371,796,117618,34,26.8%,49219,60m,16.11%,debt_consolidation,own,0
1372,558,108330,21,24.6%,36477,36m,15.61%,small_business,mortgage,1
1373,782,126956,26,7.1%,26244,36m,6.38%,medical,own,0
1374,648,138452,18,14.6%,44721,60m,17.68%,medical,mortgage,1
1375,696,75751,11,37.4%,3692,36m,10.74%,wedding,own,0
1376,597,146311,19,17.4%,17523,36m,7.08%,credit_card,own,1
1377,757,98915,0,28.2%,34326,60m,8.57%,debt_consolidation,rent,0
1378,680,74254,20,40.0%,49090,36m,21.47%,small_business,rent,1
1379,697,27006,0,14.2%,44205,36m,7.08%,credit_card,own,0
1380,701,138171,9,25.2%,2125,36m,14.34%,credit_card,rent,0
1381,603,136682,31,29.4%,47712,36m,8.91%,wedding,mortgage,1
1382,669,94218,38,10.8%,3199,36m,8.25%,car,own,0
